Geneid	gene_name	Mocetinostat_rep3	Mocetinostat_rep2	DMSO_rep2	Mocetinostat_rep1	DMSO_rep3	DMSO_rep1
ENSG00000141946	ZIM3	0	0	0	0	1	0
ENSG00000270293	AC025588.2	0	0	0	0	0	0
ENSG00000270790	AC025588.3	0	0	0	0	1	0
ENSG00000258873	DUXA	0	0	2	0	0	1
ENSG00000268379	AC025588.1	3	3	0	5	8	13
ENSG00000083844	ZNF264	76	44	246	184	276	530
ENSG00000105146	AURKC	2	0	2	7	4	4
ENSG00000204524	ZNF805	44	15	118	56	159	284
ENSG00000268713	AC005261.3	0	0	0	0	0	0
ENSG00000267871	ZNF460-AS1	0	3	5	1	6	8
ENSG00000197714	ZNF460	86	71	426	229	600	1055
ENSG00000279541	AC005261.5	0	0	0	3	1	2
ENSG00000268205	AC005261.1	44	24	208	78	263	561
ENSG00000268723	AC005261.4	0	0	0	0	0	0
ENSG00000178229	ZNF543	22	21	93	54	108	196
ENSG00000268678	AC005261.2	0	0	1	5	0	4
ENSG00000131845	ZNF304	18	19	121	65	136	330
ENSG00000152433	ZNF547	13	2	18	15	44	73
ENSG00000256060	TRAPPC2B	10	8	17	20	26	59
ENSG00000268133	AC003002.1	0	0	0	0	0	0
ENSG00000188785	ZNF548	30	23	85	73	114	219
ENSG00000269533	AC003002.3	1	0	0	1	5	6
ENSG00000268533	AC003002.2	0	1	0	2	0	6
ENSG00000186272	ZNF17	16	16	55	21	60	129
ENSG00000186230	ZNF749	28	24	122	57	157	259
ENSG00000268163	AC004076.1	0	0	0	0	0	0
ENSG00000276449	AC004076.2	0	1	15	6	24	27
ENSG00000178201	VN1R1	1	1	8	11	4	10
ENSG00000268545	VN1R107P	0	0	0	0	0	0
ENSG00000197128	ZNF772	32	15	64	41	97	200
ENSG00000268266	AC003005.2	0	0	0	1	2	8
ENSG00000105136	ZNF419	39	20	59	68	77	173
ENSG00000268107	AC003005.1	0	0	0	0	0	0
ENSG00000152439	ZNF773	19	20	48	43	49	100
ENSG00000121406	ZNF549	37	17	90	74	112	185
ENSG00000251369	ZNF550	39	22	78	81	104	173
ENSG00000083817	ZNF416	12	18	51	30	54	73
ENSG00000171649	ZIK1	65	52	91	127	130	207
ENSG00000183647	ZNF530	27	20	49	68	69	159
ENSG00000213762	ZNF134	66	48	154	167	186	352
ENSG00000268392	AC003682.1	0	1	2	0	3	5
ENSG00000121417	ZNF211	53	34	86	128	116	163
ENSG00000269097	TPRG1LP1	0	0	1	0	0	0
ENSG00000180532	ZSCAN4	1	0	0	1	0	0
ENSG00000204519	ZNF551	55	41	109	114	172	294
ENSG00000269026	AC003006.1	0	0	0	0	0	0
ENSG00000179909	ZNF154	1	0	0	2	1	0
ENSG00000083814	ZNF671	5	5	9	13	19	28
ENSG00000152443	ZNF776	44	33	133	72	150	297
ENSG00000083828	ZNF586	19	18	94	56	105	190
ENSG00000178935	ZNF552	21	16	32	50	59	92
ENSG00000268750	AC010522.1	0	0	0	0	0	0
ENSG00000269343	ZNF587B	68	31	184	135	233	453
ENSG00000269304	FKBP1AP1	0	0	0	0	0	1
ENSG00000204514	ZNF814	62	30	122	106	169	276
ENSG00000198466	ZNF587	60	49	307	159	378	662
ENSG00000269867	AC010326.3	6	0	3	3	2	6
ENSG00000270804	AC010326.4	5	1	23	5	29	59
