circRNAs	Normal1_count	Normal2_count	Normal3_count	Tumor1_count	Tumor2_count	Tumor3_count
novel_circ_051004	0.912767486	0	16.3269537	39.12623834	108.3118396	83.54015593
novel_circ_051011	0	0	4.081738424	16.95470328	50.2876398	0
novel_circ_051013	10.95320983	1.092616134	0	119.9871309	100.5752796	31.32755847
novel_circ_051023	1.825534972	1.092616134	0	15.65049534	0	0
novel_circ_051028	1.825534972	1.092616134	0	18.25891123	0	0
novel_circ_051032	6.389372403	1.638924201	4.081738424	0	0	0
novel_circ_051044	0	2.185232268	6.279597576	0	7.736559969	0
novel_circ_051050	9.127674861	5.463080671	2.51183903	11.7378715	0	0
novel_circ_051054	3.651069944	1.092616134	9.419396364	0	0	0
novel_circ_051058	5.476604917	3.82415647	0.941939636	0	0	0
novel_circ_051059	6.389372403	9.833545207	5.023678061	0	0	0
novel_circ_051060	0	4.370464537	9.733376243	7.825247669	0	0
novel_circ_051061	7.302139889	8.194621006	2.825818909	0	0	0
novel_circ_051069	5.476604917	0.546308067	2.197859152	0	0	0
novel_circ_051071	9.127674861	4.916772604	0	28.69257478	0	0
novel_circ_051072	10.04044235	15.29662588	0	24.77995095	38.68279985	0
novel_circ_051074	83.06184123	139.8548652	181.1663901	91.29455613	201.1505592	259.3225674
novel_circ_051075	3.651069944	4.916772604	1.255919515	0	15.47311994	0
novel_circ_051082	23.73195464	4.370464537	5.965617697	0	0	0
novel_circ_051083	5.476604917	1.638924201	0	10.43366356	0	0
novel_circ_051084	21.90641967	4.916772604	0	0	15.47311994	0
novel_circ_051088	6.389372403	5.463080671	0	16.95470328	0	0
novel_circ_051089	39.2490019	10.37985327	0	10.43366356	0	0
novel_circ_051095	52.94051419	12.56508554	0	76.94826874	0	0
novel_circ_051096	42.90007185	10.37985327	6.279597576	37.8220304	0	0
novel_circ_051097	6.389372403	4.916772604	11.93123539	11.7378715	0	0
novel_circ_051100	13.69151229	3.82415647	0	11.7378715	0	0
novel_circ_051102	10.04044235	20.21339848	0	27.38836684	0	0
